id,municipio,provincia,gau,nombre_pro,nombre_mun
"0301801","03018",3,GAU La Costa Blanca,Alicante,Altea distrito 01
"0301802","03018",3,GAU La Costa Blanca,Alicante,Altea distrito 02
"0301803","03018",3,GAU La Costa Blanca,Alicante,Altea distrito 03
"0301901","03019",3,"03019",Alicante,Aspe distrito 01
"0301902","03019",3,"03019",Alicante,Aspe distrito 02
"0301903","03019",3,"03019",Alicante,Aspe distrito 03
"0301904","03019",3,"03019",Alicante,Aspe distrito 04
"0302101","03021",3,"03021",Alicante,Banyeres de Mariola distrito 01
"0302102","03021",3,"03021",Alicante,Banyeres de Mariola distrito 02
03023_AM,03023_AM,3,03023_AM,Alicante,Beneixama agregacion de municipios
"03024","03024",3,"03024",Alicante,Benejúzar
03026_AM,03026_AM,3,03026_AM,Alicante,Beniarbeig agregacion de municipios
03028_AM,03028_AM,3,03028_AM,Alicante,Beniarrés agregacion de municipios
"0303101","03031",3,GAU La Costa Blanca,Alicante,Benidorm distrito 01
"0303102","03031",3,GAU La Costa Blanca,Alicante,Benidorm distrito 02
"0303103","03031",3,GAU La Costa Blanca,Alicante,Benidorm distrito 03
"0303104","03031",3,GAU La Costa Blanca,Alicante,Benidorm distrito 04
03034_AM,03034_AM,3,03034_AM,Alicante,Benijófar agregacion de municipios
03035_AM,03035_AM,3,03035_AM,Alicante,Benilloba agregacion de municipios
"0304101","03041",3,GAU Denia - Jávea,Alicante,Benissa distrito 01
"0304102","03041",3,GAU Denia - Jávea,Alicante,Benissa distrito 02
"03042","03042",3,GAU Denia - Jávea,Alicante,"Benitachell/Poble Nou de Benitatxell, el"
"03043","03043",3,"03043",Alicante,Biar
03044_AM,03044_AM,3,03044_AM,Alicante,Bigastro agregacion de municipios
"03046","03046",3,"03046",Alicante,Busot
"0304701","03047",3,GAU La Costa Blanca,Alicante,Calp distrito 01
"0304702","03047",3,GAU La Costa Blanca,Alicante,Calp distrito 02
"03048","03048",3,"03048",Alicante,Callosa d'en SarriÍ
"0304901","03049",3,"03049",Alicante,Callosa de Segura distrito 01
"0304902","03049",3,"03049",Alicante,Callosa de Segura distrito 02
"0305001","03050",3,GAU La Costa Blanca,Alicante,"Campello, el distrito 01"
"0305002","03050",3,GAU La Costa Blanca,Alicante,"Campello, el distrito 02"
"0305003","03050",3,GAU La Costa Blanca,Alicante,"Campello, el distrito 03"
"0305301","03053",3,"03053",Alicante,Castalla distrito 01
"0305302","03053",3,"03053",Alicante,Castalla distrito 02
"03055","03055",3,"03055",Alicante,Catral
"03056","03056",3,GAU Alcoy/Alcoi,Alicante,Cocentaina
"03058","03058",3,"03058",Alicante,Cox
"0305901","03059",3,"03059",Alicante,Crevillent distrito 01
"0305902","03059",3,"03059",Alicante,Crevillent distrito 02
"0305903","03059",3,"03059",Alicante,Crevillent distrito 03
"0305904","03059",3,"03059",Alicante,Crevillent distrito 04
"0305905","03059",3,"03059",Alicante,Crevillent distrito 05
"0306301","03063",3,GAU Denia - Jávea,Alicante,Dénia distrito 01
"0306302","03063",3,GAU Denia - Jávea,Alicante,Dénia distrito 02
"0306303","03063",3,GAU Denia - Jávea,Alicante,Dénia distrito 03
"0306304","03063",3,GAU Denia - Jávea,Alicante,Dénia distrito 04
"03064","03064",3,"03064",Alicante,Dolores
"0306501","03065",3,GAU Alicante - Elche,Alicante,Elche/Elx distrito 01
"0306502","03065",3,GAU Alicante - Elche,Alicante,Elche/Elx distrito 02
"0306503","03065",3,GAU Alicante - Elche,Alicante,Elche/Elx distrito 03
"0306504","03065",3,GAU Alicante - Elche,Alicante,Elche/Elx distrito 04
"0306505","03065",3,GAU Alicante - Elche,Alicante,Elche/Elx distrito 05
"0306506","03065",3,GAU Alicante - Elche,Alicante,Elche/Elx distrito 06
"0306507","03065",3,GAU Alicante - Elche,Alicante,Elche/Elx distrito 07
"0306601","03066",3,GAU Elda - Petrer,Alicante,Elda distrito 01
0306602_AD,"03066",3,GAU Elda - Petrer,Alicante,Elda distrito 02 agregacion de distritos
"0306604","03066",3,GAU Elda - Petrer,Alicante,Elda distrito 04
"0306605","03066",3,GAU Elda - Petrer,Alicante,Elda distrito 05
"03069","03069",3,GAU La Costa Blanca,Alicante,Finestrat
"03070","03070",3,"03070",Alicante,Formentera del Segura
"0307101","03071",3,"03071",Alicante,Gata de Gorgos distrito 01
"0307102","03071",3,"03071",Alicante,Gata de Gorgos distrito 02
03074_AM,03074_AM,3,03074_AM,Alicante,Granja de Rocamora agregacion de municipios
"03076","03076",3,GAU Torrevieja,Alicante,Guardamar del Segura
"03077","03077",3,"03077",Alicante,"Fondó de les Neus, el/Hondón de las Nieves"
"0307901","03079",3,"03079",Alicante,Ibi distrito 01
"0307902","03079",3,"03079",Alicante,Ibi distrito 02
"0307903","03079",3,"03079",Alicante,Ibi distrito 03
"03081","03081",3,"03081",Alicante,Xaló
"0308201","03082",3,GAU Denia - Jávea,Alicante,Jávea/Xàbia distrito 01
"0308202","03082",3,GAU Denia - Jávea,Alicante,Jávea/Xàbia distrito 02
"0308203","03082",3,GAU Denia - Jávea,Alicante,Jávea/Xàbia distrito 03
"03083","03083",3,"03083",Alicante,Jijona/Xixona
"03088","03088",3,"03088",Alicante,Monforte del Cid
"03089","03089",3,"03089",Alicante,Monóvar/Monòver
"0309001","03090",3,GAU Alicante - Elche,Alicante,Mutxamel distrito 01
"0309002","03090",3,GAU Alicante - Elche,Alicante,Mutxamel distrito 02
03092_AM,03092_AM,3,03092_AM,Alicante,Muro de Alcoy agregacion de municipios
"03093","03093",3,"03093",Alicante,Novelda
"03094","03094",3,GAU La Costa Blanca,Alicante,"Nucia, la"
"03095","03095",3,"03095",Alicante,Ondara
"03096","03096",3,"03096",Alicante,Onil
03097_AM,03097_AM,3,03097_AM,Alicante,Orba agregacion de municipios
"0309901","03099",3,GAU Orihuela,Alicante,Orihuela distrito 01
"0309902","03099",3,GAU Orihuela,Alicante,Orihuela distrito 02
"0309903","03099",3,GAU Orihuela,Alicante,Orihuela distrito 03
"0309904","03099",3,GAU Orihuela,Alicante,Orihuela distrito 04
"0309905","03099",3,GAU Orihuela,Alicante,Orihuela distrito 05
"0309906","03099",3,GAU Orihuela,Alicante,Orihuela distrito 06
"0309907","03099",3,GAU Orihuela,Alicante,Orihuela distrito 07
"0309908","03099",3,GAU Orihuela,Alicante,Orihuela distrito 08
"03101","03101",3,"03101",Alicante,Pedreguer
"0310201","03102",3,"03102",Alicante,Pego distrito 01
"0310202","03102",3,"03102",Alicante,Pego distrito 02
"0310203","03102",3,"03102",Alicante,Pego distrito 03
"0310401","03104",3,GAU Elda - Petrer,Alicante,Petrer distrito 01
"0310402","03104",3,GAU Elda - Petrer,Alicante,Petrer distrito 02
"0310403","03104",3,GAU Elda - Petrer,Alicante,Petrer distrito 03
"0310404","03104",3,GAU Elda - Petrer,Alicante,Petrer distrito 04
"03105","03105",3,"03105",Alicante,"Pinós, el/Pinoso"
"03107","03107",3,GAU La Costa Blanca,Alicante,Polop
"03109","03109",3,GAU Orihuela,Alicante,Rafal
"03111","03111",3,GAU Orihuela,Alicante,Redován
03112_AM,03112_AM,3,03112_AM,Alicante,Relleu agregacion de municipios
"0311301","03113",3,"03113",Alicante,Rojales distrito 01
"0311302","03113",3,"03113",Alicante,Rojales distrito 02
"03114","03114",3,"03114",Alicante,"Romana, la"
"03118","03118",3,"03118",Alicante,San Fulgencio
"0311901","03119",3,GAU Alicante - Elche,Alicante,Sant Joan d'Alacant distrito 01
"0311902","03119",3,GAU Alicante - Elche,Alicante,Sant Joan d'Alacant distrito 02
"03120","03120",3,"03120",Alicante,San Miguel de Salinas
"0312101","03121",3,GAU Alicante - Elche,Alicante,Santa Pola distrito 01
"0312102","03121",3,GAU Alicante - Elche,Alicante,Santa Pola distrito 02
"0312201","03122",3,GAU Alicante - Elche,Alicante,San Vicente del Raspeig/Sant Vicent del Raspeig distrito 01
"0312202","03122",3,GAU Alicante - Elche,Alicante,San Vicente del Raspeig/Sant Vicent del Raspeig distrito 02
"0312203","03122",3,GAU Alicante - Elche,Alicante,San Vicente del Raspeig/Sant Vicent del Raspeig distrito 03
03123_AM,03123_AM,3,03123_AM,Alicante,Sax agregacion de municipios
"03128","03128",3,GAU Denia - Jávea,Alicante,Teulada
"0313301","03133",3,GAU Torrevieja,Alicante,Torrevieja distrito 01
"0313302","03133",3,GAU Torrevieja,Alicante,Torrevieja distrito 02
"0313303","03133",3,GAU Torrevieja,Alicante,Torrevieja distrito 03
"03138","03138",3,"03138",Alicante,"Verger, el"
"0313901","03139",3,GAU La Costa Blanca,Alicante,"Villajoyosa/Vila Joiosa, la distrito 01"
"0313902","03139",3,GAU La Costa Blanca,Alicante,"Villajoyosa/Vila Joiosa, la distrito 02"
"0313903","03139",3,GAU La Costa Blanca,Alicante,"Villajoyosa/Vila Joiosa, la distrito 03"
"03140","03140",3,"03140",Alicante,Villena
"03901","03901",3,GAU Denia - Jávea,Alicante,"Poblets, els"
"03902","03902",3,"03902",Alicante,Pilar de la Horadada
"03903","03903",3,"03903",Alicante,"Montesinos, Los"
"04003","04003",4,"04003",Almería,Adra
"04006","04006",4,"04006",Almería,Albox
04011_AM,04011_AM,4,04011_AM,Almería,Alhama de Almería agregacion de municipios
"0401301","04013",4,GAU Almería,Almería,Almería distrito 01
"0401302","04013",4,GAU Almería,Almería,Almería distrito 02
"0401303","04013",4,GAU Almería,Almería,Almería distrito 03
"0401304","04013",4,GAU Almería,Almería,Almería distrito 04
"0401305","04013",4,GAU Almería,Almería,Almería distrito 05
"0401306","04013",4,GAU Almería,Almería,Almería distrito 06
"0401307","04013",4,GAU Almería,Almería,Almería distrito 07
"0401308","04013",4,GAU Almería,Almería,Almería distrito 08
"04016","04016",4,"04016",Almería,Antas
04017_AM,04017_AM,4,04017_AM,Almería,Arboleas agregacion de municipios
"04024","04024",4,GAU Almería,Almería,Benahadux
"0402901","04029",4,"04029",Almería,Berja distrito 01
"0402902","04029",4,"04029",Almería,Berja distrito 02
"04031","04031",4,"04031",Almería,Cantoria
"04032","04032",4,"04032",Almería,Carboneras
"04035","04035",4,"04035",Almería,Cuevas del Almanzora
"04038","04038",4,"04038",Almería,Dalías
04044_AM,04044_AM,4,04044_AM,Almería,Fines agregacion de municipios
04045_AM,04045_AM,4,04045_AM,Almería,Fiñana agregacion de municipios
04047_AM,04047_AM,4,04047_AM,Almería,Gádor agregacion de municipios
04048_AM,04048_AM,4,04048_AM,Almería,"Gallardos, Los agregacion de municipios"
"0404901","04049",4,"04049",Almería,Garrucha distrito 01
"0404902","04049",4,"04049",Almería,Garrucha distrito 02
04050_AM,04050_AM,4,04050_AM,Almería,Gérgal agregacion de municipios
"04052","04052",4,GAU Almería,Almería,Huércal de Almería
"04053","04053",4,"04053",Almería,Huércal-Overa
04057_AM,04057_AM,4,04057_AM,Almería,Láujar de Andarax agregacion de municipios
04062_AM,04062_AM,4,04062_AM,Almería,Macael agregacion de municipios
"04064","04064",4,"04064",Almería,Mojácar
"0406601","04066",4,"04066",Almería,Níjar distrito 01
"0406602","04066",4,"04066",Almería,Níjar distrito 02
"0406603","04066",4,"04066",Almería,Níjar distrito 03
"04069","04069",4,"04069",Almería,Olula del Río
04070_AM,04070_AM,4,04070_AM,Almería,Oria agregacion de municipios
"04074","04074",4,GAU Almería,Almería,Pechina
"0407501","04075",4,"04075",Almería,Pulpí distrito 01
"0407502","04075",4,"04075",Almería,Pulpí distrito 02
"0407901","04079",4,GAU Roquetas de Mar,Almería,Roquetas de Mar distrito 01
"0407902","04079",4,GAU Roquetas de Mar,Almería,Roquetas de Mar distrito 02
04083_AM,04083_AM,4,04083_AM,Almería,Serón agregacion de municipios
04086_AM,04086_AM,4,04086_AM,Almería,Sorbas agregacion de municipios
04088_AM,04088_AM,4,04088_AM,Almería,Tabernas agregacion de municipios
"04092","04092",4,"04092",Almería,Tíjola
"04093","04093",4,"04093",Almería,Turre
04098_AM,04098_AM,4,04098_AM,Almería,Vélez-Blanco agregacion de municipios
"04099","04099",4,"04099",Almería,Vélez-Rubio
"0410001","04100",4,"04100",Almería,Vera distrito 01
"0410002","04100",4,"04100",Almería,Vera distrito 02
"0410003","04100",4,"04100",Almería,Vera distrito 03
"0410004","04100",4,"04100",Almería,Vera distrito 04
"04101","04101",4,GAU Almería,Almería,Viator
"04102","04102",4,"04102",Almería,Vícar
"04902","04902",4,GAU El Ejido,Almería,"Ejido, El"
"04903","04903",4,"04903",Almería,"Mojonera, La"
"04904","04904",4,"04904",Almería,Balanegra
05002_AM,05002_AM,5,05002_AM,Ávila,"Adrada, La agregacion de municipios"
05013_AM,05013_AM,5,05013_AM,Ávila,"Arenal, El agregacion de municipios"
05014_AM,05014_AM,5,05014_AM,Ávila,Arenas de San Pedro agregacion de municipios
"05016","05016",5,"05016",Ávila,Arévalo
"0501901","05019",5,GAU Ávila,Ávila,Ávila distrito 01
"0501902","05019",5,GAU Ávila,Ávila,Ávila distrito 02
"0501903","05019",5,GAU Ávila,Ávila,Ávila distrito 03
"0501904","05019",5,GAU Ávila,Ávila,Ávila distrito 04
"0501905","05019",5,GAU Ávila,Ávila,Ávila distrito 05
"0501906","05019",5,GAU Ávila,Ávila,Ávila distrito 06
05021_AM,05021_AM,5,05021_AM,Ávila,"Barco de Ávila, El agregacion de municipios"
"05047","05047",5,"05047",Ávila,Candeleda
05054_AM,05054_AM,5,05054_AM,Ávila,Casavieja agregacion de municipios
"05057","05057",5,"05057",Ávila,Cebreros
05102_AM,05102_AM,5,05102_AM,Ávila,"Hoyo de Pinares, El agregacion de municipios"
05114_AM,05114_AM,5,05114_AM,Ávila,Madrigal de las Altas Torres agregacion de municipios
05163_AM,05163_AM,5,05163_AM,Ávila,Navaluenga agregacion de municipios
05168_AM,05168_AM,5,05168_AM,Ávila,"Navas del Marqués, Las agregacion de municipios"
05186_AM,05186_AM,5,05186_AM,Ávila,Piedrahíta agregacion de municipios
05204_AM,05204_AM,5,05204_AM,Ávila,Sanchidrián agregacion de municipios
05220_AM,05220_AM,5,05220_AM,Ávila,San Pedro del Arroyo agregacion de municipios
05238_AM,05238_AM,5,05238_AM,Ávila,Solosancho agregacion de municipios
05240_AM,05240_AM,5,05240_AM,Ávila,Sotillo de la Adrada agregacion de municipios
05241_AM,05241_AM,5,05241_AM,Ávila,"Tiemblo, El agregacion de municipios"
