id,id_municipio,id_provincia,gau,provincia,distrito,municipio,poblacion
02086_AM,02086_AM,"2",02086_AM,Albacete,Yeste agregacion de municipios,Yeste agregacion de municipios,"4673.0"
"02901","02901","2","02901",Albacete,Pozo Cañada,Pozo Cañada,"2797.0"
03002_AM,03002_AM,"3",03002_AM,Alicante,Agost agregacion de municipios,Agost agregacion de municipios,"6597.0"
03005_AM,03005_AM,"3",03005_AM,Alicante,Albatera agregacion de municipios,Albatera agregacion de municipios,"14860.0"
03006_AM,03006_AM,"3",03006_AM,Alicante,Alcalalí agregacion de municipios,Alcalalí agregacion de municipios,"2824.0"
"0300901","03009","3",GAU Alcoy/Alcoi,Alicante,Alcoy/Alcoi distrito 01,Alcoy/Alcoi,"4592.0"
"0300902","03009","3",GAU Alcoy/Alcoi,Alicante,Alcoy/Alcoi distrito 02,Alcoy/Alcoi,"7372.0"
"0300903","03009","3",GAU Alcoy/Alcoi,Alicante,Alcoy/Alcoi distrito 03,Alcoy/Alcoi,"7372.0"
"0300904","03009","3",GAU Alcoy/Alcoi,Alicante,Alcoy/Alcoi distrito 04,Alcoy/Alcoi,"8562.0"
"0300905","03009","3",GAU Alcoy/Alcoi,Alicante,Alcoy/Alcoi distrito 05,Alcoy/Alcoi,"7373.0"
"0300906","03009","3",GAU Alcoy/Alcoi,Alicante,Alcoy/Alcoi distrito 06,Alcoy/Alcoi,"5538.0"
"0300907","03009","3",GAU Alcoy/Alcoi,Alicante,Alcoy/Alcoi distrito 07,Alcoy/Alcoi,"7780.0"
"0300908","03009","3",GAU Alcoy/Alcoi,Alicante,Alcoy/Alcoi distrito 08,Alcoy/Alcoi,"10539.0"
"03011","03011","3",GAU La Costa Blanca,Alicante,"Alfàs del Pi, l'","Alfàs del Pi, l'","20495.0"
"03012","03012","3","03012",Alicante,Algorfa,Algorfa,"3396.0"
03013_AM,03013_AM,"3",03013_AM,Alicante,Algueña agregacion de municipios,Algueña agregacion de municipios,"2633.0"
"0301401","03014","3",GAU Alicante - Elche,Alicante,Alicante/Alacant distrito 01,Alicante/Alacant,"21089.0"
"0301402","03014","3",GAU Alicante - Elche,Alicante,Alicante/Alacant distrito 02,Alicante/Alacant,"34676.0"
"0301403","03014","3",GAU Alicante - Elche,Alicante,Alicante/Alacant distrito 03,Alicante/Alacant,"50616.0"
"0301404","03014","3",GAU Alicante - Elche,Alicante,Alicante/Alacant distrito 04,Alicante/Alacant,"77960.0"
"0301405","03014","3",GAU Alicante - Elche,Alicante,Alicante/Alacant distrito 05,Alicante/Alacant,"32695.0"
"0301406","03014","3",GAU Alicante - Elche,Alicante,Alicante/Alacant distrito 06,Alicante/Alacant,"51182.0"
"0301407","03014","3",GAU Alicante - Elche,Alicante,Alicante/Alacant distrito 07,Alicante/Alacant,"29705.0"
"0301408","03014","3",GAU Alicante - Elche,Alicante,Alicante/Alacant distrito 08,Alicante/Alacant,"39381.0"
"0301501","03015","3","03015",Alicante,Almoradí distrito 01,Almoradí,"18407.0"
"0301502","03015","3","03015",Alicante,Almoradí distrito 02,Almoradí,"5936.0"
"0301801","03018","3",GAU La Costa Blanca,Alicante,Altea distrito 01,Altea,"6776.0"
"0301802","03018","3",GAU La Costa Blanca,Alicante,Altea distrito 02,Altea,"5353.0"
"0301803","03018","3",GAU La Costa Blanca,Alicante,Altea distrito 03,Altea,"10528.0"
"0301901","03019","3","03019",Alicante,Aspe distrito 01,Aspe,"3725.0"
"0301902","03019","3","03019",Alicante,Aspe distrito 02,Aspe,"4696.0"
"0301903","03019","3","03019",Alicante,Aspe distrito 03,Aspe,"6203.0"
"0301904","03019","3","03019",Alicante,Aspe distrito 04,Aspe,"6464.0"
"0302101","03021","3","03021",Alicante,Banyeres de Mariola distrito 01,Banyeres de Mariola,"3411.0"
"0302102","03021","3","03021",Alicante,Banyeres de Mariola distrito 02,Banyeres de Mariola,"3702.0"
03023_AM,03023_AM,"3",03023_AM,Alicante,Beneixama agregacion de municipios,Beneixama agregacion de municipios,"3327.0"
"03024","03024","3","03024",Alicante,Benejúzar,Benejúzar,"5453.0"
03026_AM,03026_AM,"3",03026_AM,Alicante,Beniarbeig agregacion de municipios,Beniarbeig agregacion de municipios,"5934.0"
03028_AM,03028_AM,"3",03028_AM,Alicante,Beniarrés agregacion de municipios,Beniarrés agregacion de municipios,"5524.0"
"0303101","03031","3",GAU La Costa Blanca,Alicante,Benidorm distrito 01,Benidorm,"17063.0"
"0303102","03031","3",GAU La Costa Blanca,Alicante,Benidorm distrito 02,Benidorm,"19627.0"
"0303103","03031","3",GAU La Costa Blanca,Alicante,Benidorm distrito 03,Benidorm,"22041.0"
"0303104","03031","3",GAU La Costa Blanca,Alicante,Benidorm distrito 04,Benidorm,"10387.0"
03034_AM,03034_AM,"3",03034_AM,Alicante,Benijófar agregacion de municipios,Benijófar agregacion de municipios,"5787.0"
03035_AM,03035_AM,"3",03035_AM,Alicante,Benilloba agregacion de municipios,Benilloba agregacion de municipios,"5262.0"
"0304101","03041","3",GAU Denia - Jávea,Alicante,Benissa distrito 01,Benissa,"7284.0"
"0304102","03041","3",GAU Denia - Jávea,Alicante,Benissa distrito 02,Benissa,"4178.0"
"03042","03042","3",GAU Denia - Jávea,Alicante,"Benitachell/Poble Nou de Benitatxell, el","Benitachell/Poble Nou de Benitatxell, el","4447.0"
"03043","03043","3","03043",Alicante,Biar,Biar,"3628.0"
03044_AM,03044_AM,"3",03044_AM,Alicante,Bigastro agregacion de municipios,Bigastro agregacion de municipios,"9024.0"
"03046","03046","3","03046",Alicante,Busot,Busot,"3207.0"
"0304701","03047","3",GAU La Costa Blanca,Alicante,Calp distrito 01,Calp,"12360.0"
"0304702","03047","3",GAU La Costa Blanca,Alicante,Calp distrito 02,Calp,"11170.0"
"03048","03048","3","03048",Alicante,Callosa d'en SarriÍ,Callosa d'en SarriÍ,"7589.0"
"0304901","03049","3","03049",Alicante,Callosa de Segura distrito 01,Callosa de Segura,"12097.0"
"0304902","03049","3","03049",Alicante,Callosa de Segura distrito 02,Callosa de Segura,"7176.0"
"0305001","03050","3",GAU La Costa Blanca,Alicante,"Campello, el distrito 01","Campello, el","16479.0"
"0305002","03050","3",GAU La Costa Blanca,Alicante,"Campello, el distrito 02","Campello, el","7951.0"
"0305003","03050","3",GAU La Costa Blanca,Alicante,"Campello, el distrito 03","Campello, el","4583.0"
"0305301","03053","3","03053",Alicante,Castalla distrito 01,Castalla,"4097.0"
"0305302","03053","3","03053",Alicante,Castalla distrito 02,Castalla,"6655.0"
"03055","03055","3","03055",Alicante,Catral,Catral,"8880.0"
"03056","03056","3",GAU Alcoy/Alcoi,Alicante,Cocentaina,Cocentaina,"11451.0"
"03058","03058","3","03058",Alicante,Cox,Cox,"7427.0"
"0305901","03059","3","03059",Alicante,Crevillent distrito 01,Crevillent,"11860.0"
"0305902","03059","3","03059",Alicante,Crevillent distrito 02,Crevillent,"4633.0"
"0305903","03059","3","03059",Alicante,Crevillent distrito 03,Crevillent,"3064.0"
"0305904","03059","3","03059",Alicante,Crevillent distrito 04,Crevillent,"4539.0"
"0305905","03059","3","03059",Alicante,Crevillent distrito 05,Crevillent,"5621.0"
"0306301","03063","3",GAU Denia - Jávea,Alicante,Dénia distrito 01,Dénia,"6761.0"
"0306302","03063","3",GAU Denia - Jávea,Alicante,Dénia distrito 02,Dénia,"10284.0"
"0306303","03063","3",GAU Denia - Jávea,Alicante,Dénia distrito 03,Dénia,"9601.0"
"0306304","03063","3",GAU Denia - Jávea,Alicante,Dénia distrito 04,Dénia,"16307.0"
"03064","03064","3","03064",Alicante,Dolores,Dolores,"7620.0"
"0306501","03065","3",GAU Alicante - Elche,Alicante,Elche/Elx distrito 01,Elche/Elx,"30173.0"
"0306502","03065","3",GAU Alicante - Elche,Alicante,Elche/Elx distrito 02,Elche/Elx,"34820.0"
"0306503","03065","3",GAU Alicante - Elche,Alicante,Elche/Elx distrito 03,Elche/Elx,"34897.0"
"0306504","03065","3",GAU Alicante - Elche,Alicante,Elche/Elx distrito 04,Elche/Elx,"29455.0"
"0306505","03065","3",GAU Alicante - Elche,Alicante,Elche/Elx distrito 05,Elche/Elx,"32193.0"
"0306506","03065","3",GAU Alicante - Elche,Alicante,Elche/Elx distrito 06,Elche/Elx,"29589.0"
"0306507","03065","3",GAU Alicante - Elche,Alicante,Elche/Elx distrito 07,Elche/Elx,"43078.0"
"0306601","03066","3",GAU Elda - Petrer,Alicante,Elda distrito 01,Elda,"6547.0"
0306602_AD,"03066","3",GAU Elda - Petrer,Alicante,Elda distrito 02 agregacion de distritos,Elda,"7138.0"
"0306604","03066","3",GAU Elda - Petrer,Alicante,Elda distrito 04,Elda,"25770.0"
"0306605","03066","3",GAU Elda - Petrer,Alicante,Elda distrito 05,Elda,"13096.0"
"03069","03069","3",GAU La Costa Blanca,Alicante,Finestrat,Finestrat,"7402.0"
"03070","03070","3","03070",Alicante,Formentera del Segura,Formentera del Segura,"4337.0"
"0307101","03071","3","03071",Alicante,Gata de Gorgos distrito 01,Gata de Gorgos,"3167.0"
"0307102","03071","3","03071",Alicante,Gata de Gorgos distrito 02,Gata de Gorgos,"3056.0"
03074_AM,03074_AM,"3",03074_AM,Alicante,Granja de Rocamora agregacion de municipios,Granja de Rocamora agregacion de municipios,"4567.0"
"03076","03076","3",GAU Torrevieja,Alicante,Guardamar del Segura,Guardamar del Segura,"15983.0"
"03077","03077","3","03077",Alicante,"Fondó de les Neus, el/Hondón de las Nieves","Fondó de les Neus, el/Hondón de las Nieves","2634.0"
"0307901","03079","3","03079",Alicante,Ibi distrito 01,Ibi,"5590.0"
"0307902","03079","3","03079",Alicante,Ibi distrito 02,Ibi,"8148.0"
"0307903","03079","3","03079",Alicante,Ibi distrito 03,Ibi,"9914.0"
"03081","03081","3","03081",Alicante,Xaló,Xaló,"2892.0"
"0308201","03082","3",GAU Denia - Jávea,Alicante,Jávea/Xàbia distrito 01,Jávea/Xàbia,"7168.0"
"0308202","03082","3",GAU Denia - Jávea,Alicante,Jávea/Xàbia distrito 02,Jávea/Xàbia,"4944.0"
"0308203","03082","3",GAU Denia - Jávea,Alicante,Jávea/Xàbia distrito 03,Jávea/Xàbia,"15871.0"
"03083","03083","3","03083",Alicante,Jijona/Xixona,Jijona/Xixona,"6861.0"
"03088","03088","3","03088",Alicante,Monforte del Cid,Monforte del Cid,"8500.0"
"03089","03089","3","03089",Alicante,Monóvar/Monòver,Monóvar/Monòver,"12188.0"
"0309001","03090","3",GAU Alicante - Elche,Alicante,Mutxamel distrito 01,Mutxamel,"12413.0"
"0309002","03090","3",GAU Alicante - Elche,Alicante,Mutxamel distrito 02,Mutxamel,"13266.0"
03092_AM,03092_AM,"3",03092_AM,Alicante,Muro de Alcoy agregacion de municipios,Muro de Alcoy agregacion de municipios,"10812.0"
"03093","03093","3","03093",Alicante,Novelda,Novelda,"25611.0"
"03094","03094","3",GAU La Costa Blanca,Alicante,"Nucia, la","Nucia, la","18108.0"
"03095","03095","3","03095",Alicante,Ondara,Ondara,"7080.0"
"03096","03096","3","03096",Alicante,Onil,Onil,"7569.0"
03097_AM,03097_AM,"3",03097_AM,Alicante,Orba agregacion de municipios,Orba agregacion de municipios,"6159.0"
"0309901","03099","3",GAU Orihuela,Alicante,Orihuela distrito 01,Orihuela,"6953.0"
"0309902","03099","3",GAU Orihuela,Alicante,Orihuela distrito 02,Orihuela,"11207.0"
"0309903","03099","3",GAU Orihuela,Alicante,Orihuela distrito 03,Orihuela,"4984.0"
"0309904","03099","3",GAU Orihuela,Alicante,Orihuela distrito 04,Orihuela,"9223.0"
"0309905","03099","3",GAU Orihuela,Alicante,Orihuela distrito 05,Orihuela,"24465.0"
"0309906","03099","3",GAU Orihuela,Alicante,Orihuela distrito 06,Orihuela,"8311.0"
"0309907","03099","3",GAU Orihuela,Alicante,Orihuela distrito 07,Orihuela,"8160.0"
"0309908","03099","3",GAU Orihuela,Alicante,Orihuela distrito 08,Orihuela,"5637.0"
"03101","03101","3","03101",Alicante,Pedreguer,Pedreguer,"8006.0"
"0310201","03102","3","03102",Alicante,Pego distrito 01,Pego,"3128.0"
"0310202","03102","3","03102",Alicante,Pego distrito 02,Pego,"3201.0"
"0310203","03102","3","03102",Alicante,Pego distrito 03,Pego,"3911.0"
"0310401","03104","3",GAU Elda - Petrer,Alicante,Petrer distrito 01,Petrer,"2614.0"
"0310402","03104","3",GAU Elda - Petrer,Alicante,Petrer distrito 02,Petrer,"7221.0"
"0310403","03104","3",GAU Elda - Petrer,Alicante,Petrer distrito 03,Petrer,"6920.0"
"0310404","03104","3",GAU Elda - Petrer,Alicante,Petrer distrito 04,Petrer,"17254.0"
"03105","03105","3","03105",Alicante,"Pinós, el/Pinoso","Pinós, el/Pinoso","8142.0"
"03107","03107","3",GAU La Costa Blanca,Alicante,Polop,Polop,"5069.0"
"03109","03109","3",GAU Orihuela,Alicante,Rafal,Rafal,"4597.0"
"03111","03111","3",GAU Orihuela,Alicante,Redován,Redován,"8058.0"
03112_AM,03112_AM,"3",03112_AM,Alicante,Relleu agregacion de municipios,Relleu agregacion de municipios,"3009.0"
"0311301","03113","3","03113",Alicante,Rojales distrito 01,Rojales,"12118.0"
"0311302","03113","3","03113",Alicante,Rojales distrito 02,Rojales,"3860.0"
"03114","03114","3","03114",Alicante,"Romana, la","Romana, la","2542.0"
"03118","03118","3","03118",Alicante,San Fulgencio,San Fulgencio,"8447.0"
"0311901","03119","3",GAU Alicante - Elche,Alicante,Sant Joan d'Alacant distrito 01,Sant Joan d'Alacant,"12268.0"
"0311902","03119","3",GAU Alicante - Elche,Alicante,Sant Joan d'Alacant distrito 02,Sant Joan d'Alacant,"12095.0"
"03120","03120","3","03120",Alicante,San Miguel de Salinas,San Miguel de Salinas,"6553.0"
"0312101","03121","3",GAU Alicante - Elche,Alicante,Santa Pola distrito 01,Santa Pola,"17313.0"
"0312102","03121","3",GAU Alicante - Elche,Alicante,Santa Pola distrito 02,Santa Pola,"16835.0"
"0312201","03122","3",GAU Alicante - Elche,Alicante,San Vicente del Raspeig/Sant Vicent del Raspeig distrito 01,San Vicente del Raspeig/Sant Vicent del Raspeig,"26464.0"
"0312202","03122","3",GAU Alicante - Elche,Alicante,San Vicente del Raspeig/Sant Vicent del Raspeig distrito 02,San Vicente del Raspeig/Sant Vicent del Raspeig,"13875.0"
"04903","04903","4","04903",Almería,"Mojonera, La","Mojonera, La","9086.0"
"0312203","03122","3",GAU Alicante - Elche,Alicante,San Vicente del Raspeig/Sant Vicent del Raspeig distrito 03,San Vicente del Raspeig/Sant Vicent del Raspeig,"18573.0"
